timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
115996,-0.13,-0.14,9.89,0
115999,-0.12,-0.17,9.90,0
116002,-0.13,-0.15,9.88,0
116005,-0.14,-0.15,9.88,0
116008,-0.14,-0.16,9.88,0
116011,-0.11,-0.17,9.90,0
116013,-0.13,-0.17,9.89,0
116017,-0.12,-0.15,9.90,0
116019,-0.12,-0.16,9.89,0
116022,-0.13,-0.18,9.87,0
116025,-0.13,-0.18,9.89,0
116028,-0.11,-0.18,9.89,0
116031,-0.12,-0.18,9.90,0
116034,-0.13,-0.19,9.90,0
116037,-0.10,-0.16,9.89,0
116039,-0.13,-0.17,9.89,0
116042,-0.14,-0.17,9.88,0
116045,-0.12,-0.17,9.88,0
116048,-0.12,-0.17,9.90,0
116051,-0.13,-0.15,9.89,0
116054,-0.12,-0.15,9.88,0
116057,-0.10,-0.17,9.89,0
116059,-0.14,-0.16,9.87,0
116062,-0.13,-0.17,9.87,0
116065,-0.11,-0.17,9.88,0
116068,-0.12,-0.17,9.88,0
116071,-0.11,-0.17,9.87,0
116074,-0.12,-0.18,9.86,0
116077,-0.09,-0.19,9.87,0
116080,-0.10,-0.19,9.88,0
116083,-0.09,-0.17,9.86,0
116085,-0.12,-0.17,9.86,0
116088,-0.12,-0.17,9.88,0
116091,-0.09,-0.17,9.88,0
116094,-0.14,-0.19,9.90,0
116097,-0.13,-0.16,9.88,0
116100,-0.11,-0.16,9.90,0
116102,-0.11,-0.17,9.89,0
116105,-0.11,-0.19,9.89,0
116108,-0.14,-0.19,9.89,0
116111,-0.10,-0.19,9.88,0
116114,-0.13,-0.17,9.88,0
116117,-0.14,-0.19,9.87,0
116120,-0.12,-0.18,9.87,0
116123,-0.12,-0.18,9.88,0
116126,-0.12,-0.19,9.89,0
116128,-0.13,-0.16,9.87,0
116131,-0.10,-0.17,9.87,0
116134,-0.13,-0.17,9.88,0
116137,-0.12,-0.17,9.90,0
116140,-0.11,-0.17,9.87,0
116143,-0.09,-0.16,9.89,0
116146,-0.14,-0.17,9.88,0
116148,-0.12,-0.18,9.87,0
116151,-0.11,-0.17,9.89,0
116154,-0.12,-0.17,9.89,0
116157,-0.13,-0.19,9.89,0
116160,-0.13,-0.17,9.90,0
116163,-0.12,-0.14,9.88,0
116166,-0.14,-0.16,9.87,0
116169,-0.12,-0.19,9.89,0
116172,-0.11,-0.17,9.87,0
116174,-0.10,-0.17,9.89,0
116177,-0.12,-0.16,9.89,0
116180,-0.13,-0.17,9.90,0
116183,-0.11,-0.18,9.89,0
116186,-0.11,-0.16,9.87,0
116189,-0.13,-0.17,9.89,0
116192,-0.12,-0.16,9.88,0
116194,-0.13,-0.16,9.88,0
116197,-0.13,-0.15,9.89,0
116200,-0.13,-0.17,9.87,0
116203,-0.13,-0.16,9.88,0
