timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
98198,-0.31,0.97,9.82,0
98201,-0.30,0.99,9.81,0
98204,-0.31,0.98,9.83,0
98207,-0.31,0.97,9.80,0
98210,-0.30,0.96,9.82,0
98212,-0.31,0.97,9.80,0
98215,-0.35,0.96,9.81,0
98218,-0.31,0.96,9.81,0
98221,-0.31,0.95,9.83,0
98224,-0.31,0.98,9.81,0
98227,-0.31,0.96,9.81,0
98230,-0.33,0.97,9.82,0
98232,-0.33,0.98,9.82,0
98235,-0.32,0.97,9.81,0
98238,-0.32,0.97,9.82,0
98241,-0.31,0.96,9.82,0
98244,-0.30,0.95,9.82,0
98247,-0.30,0.97,9.82,0
98249,-0.31,0.96,9.81,0
98252,-0.32,0.98,9.82,0
98255,-0.31,0.96,9.82,0
98258,-0.31,0.97,9.83,0
98261,-0.31,0.98,9.83,0
98263,-0.33,0.98,9.82,0
98266,-0.31,0.98,9.82,0
98269,-0.33,0.99,9.82,0
98272,-0.32,0.98,9.82,0
98275,-0.34,0.98,9.82,0
98278,-0.32,0.98,9.83,0
98281,-0.31,0.97,9.81,0
98284,-0.33,0.97,9.82,0
98286,-0.31,0.96,9.82,0
98289,-0.33,0.97,9.83,0
98292,-0.31,0.98,9.83,0
98295,-0.31,0.98,9.82,0
98298,-0.31,0.97,9.81,0
98301,-0.32,0.98,9.84,0
98303,-0.32,0.98,9.82,0
98306,-0.32,0.96,9.82,0
98309,-0.31,0.96,9.82,0
98312,-0.33,0.96,9.82,0
98315,-0.32,0.97,9.82,0
98318,-0.32,0.97,9.83,0
98320,-0.32,0.97,9.82,0
98323,-0.33,0.97,9.82,0
98326,-0.31,0.96,9.81,0
98329,-0.31,0.97,9.81,0
98332,-0.29,0.96,9.82,0
98335,-0.31,0.96,9.82,0
98337,-0.32,0.96,9.82,0
98340,-0.31,0.98,9.82,0
98343,-0.32,0.99,9.82,0
98346,-0.31,0.97,9.81,0
98349,-0.32,0.97,9.82,0
98352,-0.31,0.96,9.82,0
98354,-0.32,0.96,9.83,0
98357,-0.32,0.98,9.83,0
98360,-0.31,0.96,9.83,0
98363,-0.33,0.96,9.82,0
98366,-0.31,0.98,9.80,0
98369,-0.31,0.96,9.82,0
98371,-0.32,0.97,9.82,0
98374,-0.33,0.98,9.81,0
98377,-0.30,0.96,9.83,0
98380,-0.31,0.96,9.83,0
98383,-0.31,0.95,9.82,0
98386,-0.32,0.97,9.82,0
98389,-0.30,0.96,9.81,0
98391,-0.29,0.96,9.81,0
98394,-0.32,0.96,9.82,0
98397,-0.29,0.98,9.83,0
98400,-0.29,0.96,9.82,0
98403,-0.32,0.97,9.82,0
98405,-0.30,0.95,9.81,0
98408,-0.30,0.98,9.80,0
98411,-0.31,0.97,9.82,0
98414,-0.31,0.95,9.82,0
98417,-0.33,0.95,9.82,0
98420,-0.32,0.96,9.83,0
98423,-0.31,0.97,9.82,0
98426,-0.31,0.97,9.84,0
98428,-0.33,0.98,9.84,0
98431,-0.32,0.98,9.84,0
98434,-0.31,0.98,9.84,0
98437,-0.31,0.97,9.82,0
98440,-0.31,0.98,9.81,0
98442,-0.31,0.97,9.82,0
98445,-0.30,0.97,9.81,0
98448,-0.33,0.96,9.79,0
98451,-0.31,0.96,9.82,0
98454,-0.33,0.97,9.81,0
98457,-0.30,0.97,9.80,0
98459,-0.31,0.98,9.80,0
98462,-0.32,0.97,9.81,0
98465,-0.32,0.96,9.81,0
98468,-0.30,0.98,9.83,0
98471,-0.31,0.96,9.81,0
98474,-0.33,0.98,9.82,0
98477,-0.33,0.97,9.83,0
98479,-0.32,0.97,9.82,0
98482,-0.32,0.97,9.84,0
98485,-0.31,0.98,9.83,0
98488,-0.31,0.98,9.83,0
98491,-0.32,0.97,9.83,0
98493,-0.31,0.97,9.82,0
98496,-0.31,0.97,9.81,0
98499,-0.31,0.96,9.81,0
98502,-0.30,0.98,9.81,0
98505,-0.32,0.96,9.80,0
98508,-0.32,0.96,9.81,0
98510,-0.30,0.96,9.82,0
98513,-0.31,0.97,9.81,0
98516,-0.29,1.00,9.80,0
98519,-0.32,0.99,9.82,0
98522,-0.34,0.99,9.82,0
98525,-0.31,0.99,9.82,0
98527,-0.31,0.97,9.82,0
98530,-0.30,0.97,9.81,0
98533,-0.30,0.96,9.82,0
98536,-0.32,0.97,9.81,0
98539,-0.33,0.98,9.82,0
98542,-0.33,0.99,9.82,0
98544,-0.32,0.97,9.81,0
98547,-0.32,0.97,9.83,0
98550,-0.31,0.97,9.82,0
98553,-0.31,0.98,9.82,0
98556,-0.32,0.97,9.81,0
98559,-0.31,0.98,9.82,0
98562,-0.33,0.96,9.83,0
98564,-0.31,0.97,9.82,0
98567,-0.34,0.96,9.84,0
98570,-0.32,0.98,9.82,0
98573,-0.33,0.98,9.82,0
98576,-0.30,0.96,9.82,0
98579,-0.30,0.95,9.84,0
98581,-0.32,0.95,9.82,0
98584,-0.31,0.96,9.81,0
98587,-0.30,0.99,9.82,0
98590,-0.32,0.96,9.83,0
98593,-0.32,0.99,9.82,0
98596,-0.32,0.99,9.83,0
98598,-0.32,0.97,9.83,0
98601,-0.30,0.97,9.84,0
98604,-0.32,0.96,9.82,0
98607,-0.32,0.98,9.82,0
98610,-0.34,0.96,9.82,0
98613,-0.30,0.96,9.81,0
98616,-0.32,0.96,9.84,0
98618,-0.31,0.97,9.82,0
98621,-0.31,0.98,9.83,0
98624,-0.32,0.97,9.80,0
98627,-0.32,0.98,9.81,0
98630,-0.30,0.97,9.82,0
98633,-0.30,0.99,9.82,0
98635,-0.33,0.97,9.82,0
98638,-0.31,0.96,9.83,0
98641,-0.32,0.97,9.82,0
98644,-0.29,0.96,9.81,0
98647,-0.31,0.97,9.80,0
98650,-0.30,0.98,9.84,0
98652,-0.33,0.98,9.82,0
98655,-0.30,0.97,9.82,0
98658,-0.33,0.98,9.81,0
98661,-0.31,0.97,9.83,0
98664,-0.32,0.97,9.81,0
98667,-0.32,0.95,9.82,0
98670,-0.31,0.96,9.80,0
98672,-0.30,0.98,9.82,0
98675,-0.31,0.96,9.81,0
98678,-0.31,0.96,9.83,0
98681,-0.32,0.96,9.83,0
98684,-0.32,0.95,9.82,0
98686,-0.31,0.97,9.82,0
98689,-0.33,0.98,9.82,0
98692,-0.32,0.97,9.81,0
98695,-0.31,0.97,9.82,0
98698,-0.33,0.98,9.81,0
98701,-0.31,0.98,9.83,0
98703,-0.33,0.96,9.80,0
98706,-0.31,0.98,9.83,0
98709,-0.33,0.96,9.82,0
98712,-0.31,0.97,9.84,0
98715,-0.30,0.98,9.84,0
98718,-0.31,0.95,9.82,0
98720,-0.33,0.97,9.82,0
98723,-0.31,0.98,9.84,0
98726,-0.33,0.96,9.83,0
98729,-0.32,0.95,9.83,0
98732,-0.32,0.97,9.83,0
98734,-0.32,0.99,9.83,0
98737,-0.32,0.98,9.83,0
98740,-0.32,0.97,9.82,0
98743,-0.33,0.98,9.81,0
98746,-0.31,0.96,9.83,0
98749,-0.33,0.95,9.82,0
98751,-0.31,0.96,9.81,0
98754,-0.32,0.98,9.82,0
98757,-0.32,0.96,9.83,0
98760,-0.33,0.96,9.84,0
98763,-0.30,0.97,9.81,0
98766,-0.30,0.97,9.81,0
98768,-0.31,0.97,9.81,0
98771,-0.32,0.97,9.81,0
98774,-0.33,0.96,9.81,0
98777,-0.30,0.96,9.80,0
98780,-0.31,0.97,9.80,0
98783,-0.30,0.96,9.83,0
98785,-0.33,0.98,9.81,0
98788,-0.30,0.97,9.80,0
98791,-0.31,0.98,9.79,0
98794,-0.32,0.98,9.81,0
98797,-0.31,0.96,9.81,0
98799,-0.30,0.96,9.83,0
98802,-0.32,0.97,9.82,0
98805,-0.31,0.98,9.84,0
98808,-0.30,0.97,9.83,0
98811,-0.32,0.96,9.83,0
98814,-0.33,0.97,9.84,0
98817,-0.31,0.96,9.82,0
98820,-0.31,0.97,9.83,0
98823,-0.32,0.99,9.82,0
98825,-0.31,0.98,9.82,0
98828,-0.31,0.97,9.83,0
98831,-0.31,0.97,9.81,0
98834,-0.32,0.98,9.80,0
98837,-0.33,0.98,9.82,0
98839,-0.33,0.98,9.81,0
98842,-0.31,0.98,9.81,0
98845,-0.30,0.94,9.81,0
98848,-0.33,0.97,9.83,0
98851,-0.31,0.97,9.81,0
98854,-0.33,0.98,9.81,0
98857,-0.31,0.98,9.83,0
98859,-0.31,0.96,9.82,0
98862,-0.31,0.96,9.82,0
98865,-0.32,0.97,9.83,0
98868,-0.31,0.97,9.84,0
98871,-0.30,0.95,9.80,0
98874,-0.31,0.95,9.84,0
98876,-0.30,0.97,9.82,0
98879,-0.30,0.98,9.84,0
98882,-0.31,0.98,9.84,0
