timestamp,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
23433,1.80,5.08,8.42,0.04,0.00,-0.01,-19.64,-92.52
23440,1.81,5.08,8.42,0.03,0.00,-0.01,-19.29,-93.77
23447,1.83,5.08,8.42,0.01,-0.00,-0.01,-18.97,-93.51
23454,1.82,5.06,8.42,0.00,-0.00,-0.00,-18.65,-93.57
23461,1.85,5.07,8.41,0.00,-0.00,-0.00,-19.03,-93.44
23468,1.81,5.10,8.43,-0.01,-0.00,0.00,-19.29,-93.85
23475,1.82,5.10,8.44,-0.02,-0.00,0.01,-19.44,-91.36
23482,1.80,5.10,8.44,-0.03,-0.00,0.02,-18.87,-93.34
23489,1.80,5.13,8.43,-0.03,-0.00,0.02,-18.80,-93.26
23496,1.80,5.12,8.41,-0.05,-0.00,0.03,-18.50,-92.90
23503,1.77,5.11,8.41,-0.06,-0.00,0.04,-18.75,-93.00
23510,1.77,5.10,8.44,-0.08,-0.00,0.04,-18.40,-93.04
23517,1.77,5.08,8.44,-0.08,-0.00,0.04,-18.82,-93.16
23524,1.79,4.99,8.45,-0.09,-0.01,0.03,-18.40,-91.98
23531,1.80,4.91,8.44,-0.11,-0.01,0.03,-18.97,-93.17
23538,1.83,4.74,8.41,-0.11,-0.01,0.03,-18.62,-93.29
23545,1.85,4.66,8.39,-0.11,-0.01,0.03,-19.06,-93.55
23552,1.88,4.52,8.37,-0.11,-0.01,0.03,-18.65,-93.31
23559,1.86,4.42,8.37,-0.10,-0.01,0.04,-18.91,-93.35
23566,1.87,4.27,8.38,-0.10,-0.00,0.04,-18.87,-93.31
23573,1.87,4.25,8.37,-0.08,-0.00,0.04,-19.13,-93.34
23580,1.87,4.14,8.37,-0.06,-0.00,0.04,-19.26,-91.57
23587,1.85,4.13,8.35,-0.04,0.00,0.04,-18.63,-93.07
23594,1.87,4.10,8.32,-0.04,0.00,0.03,-18.84,-92.93
23601,1.86,4.13,8.33,-0.00,0.00,0.03,-18.82,-92.93
23608,1.85,4.21,8.34,0.03,0.00,0.02,-19.04,-93.23
23615,1.85,4.26,8.35,0.07,0.01,0.01,-18.66,-92.81
23622,1.83,4.41,8.38,0.07,0.01,-0.00,-19.34,-91.64
23629,1.85,4.50,8.40,0.10,0.01,-0.00,-18.78,-93.10
23636,1.87,4.67,8.42,0.12,0.01,-0.01,-18.63,-93.48
23643,1.86,4.75,8.42,0.12,0.01,-0.02,-19.07,-93.57
23650,1.84,4.91,8.45,0.12,0.01,-0.02,-18.63,-93.64
23657,1.85,4.97,8.43,0.12,0.01,-0.02,-18.72,-93.45
23664,1.84,5.11,8.43,0.12,0.01,-0.02,-18.31,-93.54
23671,1.83,5.17,8.43,0.10,0.01,-0.01,-18.47,-92.82
23678,1.82,5.25,8.45,0.10,0.01,-0.01,-19.58,-92.90
23685,1.80,5.31,8.44,0.09,0.01,-0.01,-18.65,-93.50
23692,1.78,5.32,8.47,0.07,0.01,-0.01,-18.68,-94.02
23699,1.78,5.31,8.48,0.05,0.00,-0.01,-18.84,-93.79
23706,1.77,5.26,8.50,0.05,0.00,-0.01,-18.91,-93.48
23713,1.79,5.21,8.48,0.02,0.00,-0.01,-19.04,-93.41
23720,1.81,5.10,8.45,-0.01,0.00,-0.01,-19.34,-90.92
23727,1.81,5.04,8.43,-0.03,-0.00,-0.01,-18.84,-92.69
23734,1.81,4.93,8.39,-0.03,-0.00,-0.01,-18.91,-93.15
23741,1.82,4.85,8.38,-0.04,-0.00,-0.01,-18.81,-93.34
23748,1.82,4.78,8.38,-0.05,-0.00,-0.00,-18.96,-93.45
23755,1.80,4.77,8.37,-0.05,-0.00,-0.00,-19.56,-93.82
23762,1.79,4.71,8.36,-0.05,-0.00,-0.01,-19.12,-93.29
23769,1.83,4.69,8.36,-0.04,-0.00,-0.01,-18.94,-91.87
23776,1.82,4.68,8.35,-0.03,-0.00,-0.01,-19.34,-93.36
23783,1.81,4.68,8.34,-0.02,-0.00,-0.01,-18.75,-93.60
23790,1.83,4.70,8.37,-0.02,-0.00,-0.02,-18.56,-93.47
23797,1.84,4.69,8.36,-0.01,-0.00,-0.02,-19.12,-93.29
23804,1.85,4.69,8.37,0.01,-0.00,-0.01,-18.56,-93.41
23811,1.83,4.71,8.36,0.02,-0.00,-0.01,-19.41,-93.10
23818,1.86,4.72,8.35,0.02,-0.00,-0.01,-19.10,-91.14
23825,1.86,4.72,8.35,0.02,-0.00,-0.01,-18.90,-92.98
